operator,tradition,source,location,original_term_or_form,transliteration_or_pronunciation,action,target,claimed_or_textual_result,evidence_status,confidence,chronology,notes
OPERATIVE_PRONUNCIATION,Marcus/Irenaeus,Irenaeus Against Heresies I.14,"I.14.4","peculiar pronunciation; utterance","pronunciation","utter elements of divine name","letters/syllables","elements mix into one letter and one same sound",ATTESTED,high,"2nd c. tradition","Shows many-to-one sound motif predates Marsanes"
MANY_TO_ONE_SOUND,Marcus/Irenaeus,Irenaeus Against Heresies I.14,"I.14.4","one letter / one and the same sound","single utterance","mix/converge","name-elements","restitution when all converge into one sound",ATTESTED,high,"2nd c. tradition","Demotes many-to-one sound from Marsanes novelty"
CLASSIFY,Greek theory,Dionysius of Halicarnassus On Literary Composition,"ch. 14-15","γράμματα; φωνήεντα; ἡμίφωνα; ἄφωνα","grammata; phōnēenta; hēmiphōna; aphōna","classify letters and articulation","Greek speech sounds","technical phonetic hierarchy",ATTESTED,high,"1st c. BCE","Ordinary technical substrate"
PITCH,Greek theory,Dionysius of Halicarnassus On Literary Composition,"discussion of speech melody","pitch/melody terminology","speech melody","control/describe vocal contour","spoken language","musical quality of speech",ATTESTED,high,"1st c. BCE","Shows pitch need not be magical"
RHYTHM,Greek theory,Dionysius of Halicarnassus On Literary Composition,"composition/rhythm discussion","rhythm / timing","rhythmos","organize temporal delivery","speech/syllables","measured delivery and stylistic effect",ATTESTED,high,"1st c. BCE","Control for beat/rhythm"
DURATION,Greek theory,Dionysius of Halicarnassus On Literary Composition,"ch. 15","long/short; delivery duration","quantity","vary time to utter","syllables","different actual durations",ATTESTED,high,"1st c. BCE","Control for temporal execution"
CLASSIFY,Sefer Yetzirah,Sefaria Sefer Yetzirah 2.1-2.3,"2.1-2.3","שלש אמות שבע כפולות ושתים עשרה פשוטות","three mothers; seven doubles; twelve simples","classify letters","22 Hebrew letters","cosmic/anthropological letter taxonomy",ATTESTED,high,"date/redaction debated; late antique/early medieval","Use version-sensitive coding"
COMBINE,Sefer Yetzirah,Sefaria Sefer Yetzirah 2.2-2.3,"2.2","חקקן חצבן שקלן והמירן צרפן","carve, hew, weigh, exchange, combine","transform/permutate","22 letters","form souls/created beings",ATTESTED,high,"date/redaction debated","Strong sacred-letter operator but no Marsanes execution bundle"
VOICE_BREATH,Sefer Yetzirah,Sefaria Sefer Yetzirah 2.3,"2.3","חקוקות בקול חצובות ברוח","engraved with voice; carved with breath","voice/breath articulation","letters","placed in mouth at five articulatory regions",ATTESTED,high,"date/redaction debated","Phonetic articulation present"
TABLE_EXTRACTION,Enochian,Dee/Kelley Liber Loagaeth / Sloane 3188-3189,"1583 production notes","49-row/table structures; letter-by-letter dictation","Loagaeth pronounced Logah per Dee note","dictate/extract written sacred language","letter arrays / tables","revealed sacred text and names",ATTESTED,medium-high,"1583 CE","Late comparator only; structural analogy not genealogy"
PRONUNCIATION,Enochian,Dee/Kelley Liber Loagaeth / Sloane 3188-3189,"1583 production notes","pronunciation notes reported during reception","variable; original performance uncertain","pronounce revealed words","Angelical/Enochian words","ritual/revelatory use",ATTESTED,medium,"1583 CE","Do not assume later Golden Dawn pronunciation is Dee's"
BEAT,Enochian,Dee/Kelley primary material,"—","—","—","—","—","no secure primary evidence identified",ATTESTED_ABSENCE,medium,"1583 CE","Do not infer beat from later chanting style"
PITCH,Enochian,Dee/Kelley primary material,"—","—","—","—","—","no secure primary evidence identified",ATTESTED_ABSENCE,medium,"1583 CE","Do not infer pitch system without source"
SEMIVOWEL_RECRUITMENT,Enochian,Dee/Kelley primary material,"—","—","—","—","—","no analogue identified",ATTESTED_ABSENCE,medium,"1583 CE","Useful adversarial control"
